filename,total_read_pairs,read_pairs_written,read1_adapter_count,read1_adapter_percent,read2_adapter_count,read2_adapter_percent,r1_base_A,r1_base_C,r1_base_G,r1_base_T
uf_muellermcnicoll_2025_04_07_In_Puro_1,24221259,23755794,21256591,87.8,21248455,87.7,61.6,5.8,18.0,14.6
uf_muellermcnicoll_2025_04_08_In_Puro_3,29235694,28687020,27426334,93.8,27300663,93.4,63.4,6.8,16.9,12.9
uf_muellermcnicoll_2025_04_09_In_Puro_4,26411808,25924265,24660171,93.4,24569663,93.0,63.9,5.2,17.7,13.2
uf_muellermcnicoll_2025_04_10_In_CHX_1,27106674,26660011,25629472,94.6,25507070,94.1,64.7,8.3,19.4,7.5
uf_muellermcnicoll_2025_04_11_In_CHX_2,27709830,27376458,26524855,95.7,26455722,95.5,64.4,5.2,23.3,7.1
uf_muellermcnicoll_2025_04_12_In_CHX_4,26852661,26535202,26044863,97.0,25984969,96.8,62.7,5.6,23.4,8.2
uf_muellermcnicoll_2025_04_13_IP_Puro_1,23927047,23397232,21973531,91.8,21842290,91.3,55.0,7.6,26.9,10.5
uf_muellermcnicoll_2025_04_14_IP_Puro_3,25064226,24690955,22239490,88.7,22177534,88.5,65.2,4.6,18.7,11.5
uf_muellermcnicoll_2025_04_15_IP_Puro_4,24337638,23880694,22130549,90.9,22064370,90.7,66.3,5.3,17.0,11.4
uf_muellermcnicoll_2025_04_16_IP_CHX_1,24226505,23889913,22651544,93.5,22622745,93.4,64.8,5.4,21.3,8.5
uf_muellermcnicoll_2025_04_17_IP_CHX_2,20622935,20370807,19548003,94.8,19509581,94.6,43.5,14.0,31.6,10.8
uf_muellermcnicoll_2025_04_18_IP_CHX_4,28061502,27691294,26167271,93.2,26101646,93.0,65.5,5.6,21.0,7.8
